区分,名称,GoogleMAP,概要
観光,菖蒲グリーンセンター,JA南彩 菖蒲グリーンセンター,菖蒲グリーンセンターでは、特産のいちごを１１月中旬から５月下旬まで販売しています。久喜市菖蒲町はいちごの生産量が県内有数を誇る産地です。１月上旬からは、いちご狩りも楽しめます。そのほか、新鮮な地場産野菜も豊富に販売されています。また、隣接する食堂では、人気の手打ちうどん・そばが味わえます。
観光,トータルインテリアショップ　はせがわ,はせがわ,「トータルインテリアショップはせがわ」では染物製品及びラベンダーグッズを販売しています。ラベンダー染めは自然の恵みと彩を引き出し、薄いグリーングレーに染まります。また紫色のラベンダー色染めも人気です。ひとつひとつ心を込めて染め上げました。手作りラベンダーグッズ、ラベンダーサシエも取り揃えています。
観光,寒梅酒造株式会社,寒梅酒造(株),"創業文政四年（1821年）。清酒「寒梅」醸造元。本年『品質一筋190年』のもと、『美味しく楽しい時間の提案』を基本に、手造りの良さと地元に密着した酒造りに努める。
全国新酒鑑評会金賞受賞蔵。
関東信越国税局酒類鑑評会最優秀。"
観光,八坂祭,八坂神社,八坂祭は疫病神とされる牛頭（ごず）天王を奉り、鎮めるために行われる祭りです。毎年７月第３日曜日の渡御に始まり第４日曜日まで行われます。最終日の夕刻は一番の賑わいを見せます。各町内の山車５台が提灯に飾られ引き回しが行われ、太鼓や鐘が鳴り響き盛大な夏祭りが行われます。
観光,夏越祭,八坂神社,夏越祭は、古くから「鷲のなこし」又は「輪くぐり」と呼ばれています。紙で作った形代に穢れを移し、夏場の健康を願う祭りです。当日、社殿の前に置かれた直径３ｍの大きな茅の輪をくぐり厄を払い、夕刻に形代を古式ゆかしい行列で近くを流れる古利根川に運びます。川岸で雅楽の演奏や舞が舞われ、船上から形代を流す形代流しが古式にのっとり行われます。また、日中には神楽殿において鷲宮催馬楽神楽の奏演も行われます。
観光,土師祭,鷲宮神社,毎年９月の第１日曜日には、県下最大と云われる千貫神輿の渡御が行われ、地元を始め関東一円から担ぎ手が集まり手古舞行列に導かれながら神社通りを練り歩きます。関東最古といわれる鷲宮神社に伝わる本社神輿は、江戸寛政年間（1789年）に造られたものです。台座は、縦・横とも約1.4m、重さ約1tあり俗に「千貫みこし」とも呼ばれ県内では最大のものと云われています。
観光,労働会館（あやめ会館）,久喜市労働会館 [あやめ会館],レンタサイクルが無料で借りられる公共施設。菖蒲地区観光の拠点に。借りる際は、本人確認できるものが必要。
観光,しらさぎ公園,しらさぎ公園,園内の丘では約1000株のラベンダーが楽しめる。花の鮮やかな色彩や香りで癒される。写真をとる方も多く訪れるスポット。
観光,菖蒲城址趾あやめ園,菖蒲城趾あやめ園,50品種約16000株の花しょうぶが一面に咲き誇る姿は必見。木道を歩きながら、散策できるのも魅力的。5月から6月の開花時期には、沢山の人が集まる。開花状況は久喜市ホームページで確認を。
観光,鷲宮神社,鷲宮神社,関東最古といわれる大社で、古くから源頼朝や徳川家康など、関東の武士に崇敬されてきた由緒ある神社。神社に伝わる「土師一流催馬楽神楽」は関東神楽の源流と称され、国の重要無形民族文化財に指定されている。
観光,百観音温泉,百観音温泉,県内で唯一、自噴する温泉施設。湯量が豊富で、美肌効果も期待できる。駅からのアクセスも抜群。
観光,菖蒲城趾あやめ園,菖蒲城趾あやめ園,毎年６月頃に、様々な種類のあやめが開花します。
観光,神明神社の社叢,神明神社の社叢(県指定天然記念物),"1.74ヘクタールの面積があり、約500メートルの参道林と境内林からなっています。現在はアカシデを主体とした不安定な状態ですが、潜在的にはヒサカキ・サカキを主体とするシラカシ群の自然植生とみることができます。埼玉県東部低地には、潜在自然植生を良く示す広域的な林は少なく、貴重な存在です。
県指定天然記念物"
観光,天王山塚,天王山塚古墳,"全長100メートルを超える大型の前方後円墳で、元荒川左岸の栢間の台地上に分布する栢間古墳群の中心をなす古墳です。前方部の高さ約9メートル、後円部の高さは約10メートル、前方部幅約62メートル、後円部径約55メートルを測り、主軸はほぼ東西をさしています。
この古墳は、石室に使われたとみられる角閃石安山岩という石があることから、古墳時代後期（6世紀終わり頃）に造られた大豪族の墓といわれています。"
観光,本多静六記念館,本多静六記念館,日本で最初の林学博士である本多静六の記念館です。ここでは、博士の直筆の資料や遺品などの貴重な資料をはじめ、公園の模型や写真、博士が手がけた全国各地の公園や観光地のポスターを展示しています。
観光,会津見送り稲荷,会津見送り稲荷,"江戸時代、会津藩主の参勤交代による江戸参向に先立ち、藩士が江戸へ書面を届けるためにこの街道を先遣隊として進んでいたところ、栗橋宿下河原で地水のために通行できず、街道がどこかさえも分からなくなってしまいました。大変困っているところへ突然、白髪の老人が現われ、道案内をしてもらい、藩士は無事に江戸へ着き、大事な役目をはたせたといいます。
また、道が通行できず、茶店でお茶をご馳走になっている時に、大事な物を忘れてきたことに気づき、そのために死を決意した際、この老人が現われ、藩士に死を思い止らせたともいわれています。
後にこの老人は狐の化身と分かり、稲荷様として祀ったとされています。"
観光,炮烙地蔵,炮烙地蔵,この像は宝永7年（1710）に建立された石仏で、江戸時代に関所破りをした者等の処刑場に、供養のために建立されたと伝えられています。地蔵菩薩の回りには多くの焙烙が奉納されていますが、この焙烙は処刑で火あぶりになった者の供養のため、火にあぶる焙烙になぞらえて奉納されるようになったと伝えられます。現在では、子どもの成長を願い、焙烙に名前を書き入れ奉納されています。　また、エボ地蔵とも言われ、あげた線香の灰をエボ（イボ）につけると治る、といい伝えられています。
観光,吉田家水塚,吉田家水塚,"水塚とは、洪水に備えて自宅敷地内の一部を盛土した塚、またその上に建てた建物も含めた避難施設のことを言います。市内では、利根川をはじめ大小の河川に囲まれた栗橋地区で最も多くの水塚を確認することができます。吉田家水塚もその1つで、日光道中栗橋宿内の商家吉田家の敷地内に築かれました。大谷石で囲まれた塚の上には、江戸時代末期の建築と推定される「大蔵」、明治37年の梁墨書を有する「向う蔵」の2つの蔵が建ち並んでいます。商家の水塚としては市内で唯一現存する水塚と考えられています。
平成16年度からの利根川堤防強化対策事業に伴い、平成24年3月に現在地へ移築・復元しました。"
観光,郷土資料館,久喜市立郷土資料館,郷土資料館は、市の歴史や文化財等の地域学習の拠点です。郷土の歴史的資料の収集・保存や調査研究を生かした企画展・特別展や各種講座等が開催されています。
景観,鷲宮神社本殿・拝殿・神崎神社本殿・神楽殿,鷲宮神社 神楽殿,本殿は桁行１間、梁間１間、入母屋造、正面向背付、銅板葺。本殿は幣殿を挟んで拝殿に繋がる。拝殿は桁行７間、梁間３間、入母屋造、銅板葺。本殿の西に一間社流造の神崎神社本殿が並座する。神楽殿は桁行５間、梁間６間、入母屋造、銅板葺。関東最古の神社といわれ、鎌倉時代に編さんされた「吾妻鏡」にも登場する古社。古来より幕府や関東の有力な武将に厚く崇敬されてきた。鎌倉幕府からは鶴岡八幡宮などともに有力社の中の一つに加えられ、徳川家康からは４００石の社領が寄進された。国指定重要無形民俗文化財の鷲宮催馬楽神楽をはじめ、埼玉県指定有形文化財の工芸品や古文書など数多くの文化財が伝えられている。神楽殿において年６回鷲宮催馬楽神楽の奉納がある。１月１日、２月１４日、４月１０日、７月３１日、１０月１０日、１２月初酉の日。
景観,久喜総合文化会館,久喜総合文化会館,この種の大きな単体の建築施設は独立した景観維持になりがちですが、既存の久喜市役所の前庭との巧みな一体化を成功させたものです。広場は、諸種の催しができるよう乾いた空間とし、建物を取り囲む豊かな植栽によるバランスのとれた空間により、市民に憩いの場を提供していいます。建物も独特の曲線を生かし、周辺の緑に溶け込むよう淡いグリーンのタイルでまとめています。
景観,菖蒲総合支所,久喜市役所 菖蒲総合支所,昭和63年に完成。1から3階は事務所、4階は会議室、5階は町議会関係、6階にはユニバーサルスペースとして展望室と天体観測室があります。また、役場の前に広がるラベンダー苑では、毎年6月中旬から7月初めにかけて「あやめ・ラベンダーのブルーフェスティバル」が行われ、大勢の見物客で賑わいます。
景観,久喜地区消防組合　消防本部庁舎,埼玉東部消防局 久喜消防署,県道大宮栗橋線沿いにある消防署である。従来の消防署のイメージとはちがった、白く、輝くような、解放感あふれる建物が、人々の目をひいています。広いスペースが空間のゆとりを感じさせ、防災のシンボルとして魅力のある存在です。
景観,しみん農園久喜・緑風館,久喜市 しみん農園久喜,市民農園「ふるさと農園久喜」の敷地内に平成11年に建設された。市街地在住の市民と農業者との交流の促進及び農村の活性化をめざし、交流会、イベント、農村料理の体験教室等の相互交流の場として利用されている。
景観,栗橋文化会館　イリス,久喜市 栗橋文化会館イリス,愛称「イリス[ＩＲＩＳ]」とは、スペイン語・フランス語ともに、天と地の架け橋である”虹”を意味し、文化と人、人の心と心をつなぐ虹となって新たな文化の芽を育てたいという願いが込められており、486席を有するホールは音楽や演劇等の多彩な文化の拠点となっています。また図書室や各種多目的施設があります。平成７年度に景観賞（奨励賞）を受賞しました。
景観,栗橋コミュニティセンター　くぷる,久喜市 栗橋コミュニティセンター くぷる,隣接する栗橋幼稚園とともに楕円を基調としたデザインで配置され、曲面を基調とした子育て支援施設部と、角を基調としたコミュニティセンター部との調和を図った建物である。子育て支援センターやファミリーサポートセンターを併設している。
景観,ふれあいセンター久喜,久喜市 ふれあいセンター久喜,住民票や戸籍等の証明書発行窓口の他、高齢者ディサービス、障がい者ディサービスなどの提供を行っている社会福祉施設である。会議室、視聴覚室、調理実習室、教養室、図書・資料コーナー及び活動支援事業室を備えており、各施設の利用を通して地域の各種団体や住民の方々の交流の場となっている。
景観,久喜市　香取公園,香取公園,河川の調節池を中心に造られた公園である。バードサンクチュアリを主体としている点が試みとして評価できる。鳥のためのスペースとそれを観察する人との関わりがうまく設計されている。周囲は住宅地として発展しており、住宅地から観察デッキへのアクセスが大変手頃であることは、利用促進の面でも好例と言える。
景観,旗本内藤氏の屋敷門,旗本内藤家歴代の墓所,菖蒲城趾あやめ園の入口に江戸時代にこの地を治めた旗本内藤氏の門が移築されており、周りの萩の垣根がいにしえをしのばせています。菖蒲城趾あやめ園には、6月上旬から下旬にかけて50品種、約３５０００株の花菖蒲が咲く。開花時には、臨時バス停が設けられます。
