団体コード,団体名,観光地_名称,観光地_紹介文,観光地_住所,観光地_緯度,観光地_経度,観光地_種別,観光地_収容人数［総定員］人数,観光地_利用可能時間情報,観光地_休業情報,開始時間,終了時間,日時備考,観光地_自由記述欄,観光地_連絡先,観光地_電話番号,観光地_メールアドレス,観光地_URL,観光地_画像,観光地_画像_ライセンス,観光地_画像_画像テキスト
112321,久喜市,利根川のハクレン,毎年6月～7月頃に、産卵を控えた多くのハクレンが利根川栗橋地先に集まりジャンプします。かなりの数のハクレンがジャンプするためダイナミックな景色が楽しめます。,埼玉県久喜市栗橋東6丁目付近,36.133785,139.710417,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,会津見送り稲荷,"江戸時代、会津藩主の参勤交代による江戸参向に先立ち、藩士が江戸へ書面を届けるためにこの街道を先遣隊として進んでいたところ、栗橋宿下河原で地水のために通行できず、街道がどこかさえも分からなくなってしまいました。大変困っているところへ突然、白髪の老人が現われ、道案内をしてもらい、藩士は無事に江戸へ着き、大事な役目をはたせたといいます。
また、道が通行できず、茶店でお茶をご馳走になっている時に、大事な物を忘れてきたことに気づき、そのために死を決意した際、この老人が現われ、藩士に死を思い止らせたともいわれています。
後にこの老人は狐の化身と分かり、稲荷様として祀ったとされています。",埼玉県久喜市栗橋東6丁目22,36.130388,139.708554,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,一里塚,慶長9年（1604）、徳川幕府は、大久保石見守に命じて東海道、中山道、日光街道、奥州街道、甲州街道の五街道をはじめとする、主要街道に一里塚を築かせました。この塚は、幸手宿と栗橋宿の中間の小右衛門村（現久喜市小右衛門）にあり、幸手宿内の一里塚の次に当たります。,埼玉県久喜市小右衛門516,36.114641,139.722844,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,栗橋関所跡,"栗橋関所は、日光街道が利根川を越す要地である「利根川通り定船場」から発展した関所の一つで「房川渡中田関所」と呼ばれました。
大正13年（1924）に、旧番士3家・本陣・宿名主の発起で町内と近在の有志により、徳川家達の揮毫で、旧堤上に関所跡の記念碑が建碑され、その後数度の堤改修により現在地に移設されています。",埼玉県久喜市栗橋北2丁目7,36.142357,139.70253,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,栗橋八福神,"栗橋の福神めぐりは、通常の七福神に吉祥天を加えた八福神です。
弁財天：迎盛院、布袋尊：定福院、吉祥天：寶聚寺、大黒天：常薫寺、毘沙門天：顕正寺、寿老人：浄信寺、恵比須：深廣寺、福禄寿：福壽院",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,静御前墓所,源義経の内妻であった静御前の墓と伝えられています。当地には静御前の墓が残されましたが、墓に墓標がなかったため享和3年（1803）に勘定奉行・関東郡代であった中川飛騨守忠英により建立されました。墓上の杉の木は弘化3年（1846）の洪水により枯れてしまい、その後銀杏が植えられています。,埼玉県久喜市栗橋中央1丁目2番,36.137601,139.694842,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,炮烙地蔵,この像は宝永7年（1710）に建立された石仏で、江戸時代に関所破りをした者等の処刑場に、供養のために建立されたと伝えられています。地蔵菩薩の回りには多くの焙烙が奉納されていますが、この焙烙は処刑で火あぶりになった者の供養のため、火にあぶる焙烙になぞらえて奉納されるようになったと伝えられます。現在では、子どもの成長を願い、焙烙に名前を書き入れ奉納されています。　また、エボ地蔵とも言われ、あげた線香の灰をエボ（イボ）につけると治る、といい伝えられています。,埼玉県久喜市栗橋東3丁目15番7号,36.13455,139.705899,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,六角名号塔,六角名号塔は、深廣寺の2代目住職である単信上人によって建立された供養塔で、側面には、南無阿弥陀仏の六字が六面に刻まれています。高さは360センチメートルで、承応3年(1654)から明暦2年(1656)の間に20基がたてられました。,埼玉県久喜市栗橋東3丁目7番24号,36.136563,139.702997,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,吉田家水塚,"水塚とは、洪水に備えて自宅敷地内の一部を盛土した塚、またその上に建てた建物も含めた避難施設のことを言います。市内では、利根川をはじめ大小の河川に囲まれた栗橋地区で最も多くの水塚を確認することができます。吉田家水塚もその1つで、日光道中栗橋宿内の商家吉田家の敷地内に築かれました。大谷石で囲まれた塚の上には、江戸時代末期の建築と推定される「大蔵」、明治37年の梁墨書を有する「向う蔵」の2つの蔵が建ち並んでいます。商家の水塚としては市内で唯一現存する水塚と考えられています。
平成16年度からの利根川堤防強化対策事業に伴い、平成24年3月に現在地へ移築・復元しました。",埼玉県久喜市伊坂1562,36.128598,139.693979,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,郷土資料館,郷土資料館は、市の歴史や文化財等の地域学習の拠点です。郷土の歴史的資料の収集・保存や調査研究を生かした企画展・特別展や各種講座等が開催されています。,埼玉県久喜市鷲宮5丁目33番1号,36.099317,139.665523,,-,-,年末年始（12/28～1/4）、月曜日（休日は開館）、休日の翌日、毎月最後の金曜日,10:00,18:00,-,-,-,0480-57-1200,kyodoshiryokan@city.kuki.lg.jp,http://www.city.kuki.lg.jp/miryoku/rekishi_bunkazai/kyodoshiryokan/,-,-,-
