ID,観光地名,ふりがな,地域ブロック,市町村,住所１（地番まで),住所２（マンション名等）,緯度,経度,説明,電話番号,ファックス,公共交通,車,駐車場,営業時間,定休日,料金,ユニバーサル対応トイレ,ユニバーサル対応駐車場,ユニバーサル対応その他,備考,ホームページURL,テーマ,カテゴリ,サブカテゴリ,分類キーワード
15,みさと公園,みさとこうえん,東部地域,三郷市,高州3丁目地内,,35.78705334,139.8728764,バーベキュー広場、こどもの砦、展望台、自由広場及び湿地を利用した自然観察園など子どもはもちろん、大人も楽しめる公園です。小合溜をはさんで東京都の水元公園と向かい合い、一体的な美しい水辺空間を形成しています。カルガモ、キジバト、シジュウカラ、ムクドリなど様々な野鳥観察も体験出来るほか、お花見スポットとしても知られています。,048-955-2067（みさと公園管理事務所）,048-955-5721（みさと公園管理事務所）,ＪＲ武蔵野線「三郷駅」またはつくばエクスプレス「三郷中央駅」から「金町駅南口」行きバス「みさと公園前」下車　徒歩約５分,,,"＜炊飯場＞
９：００～１６：００","＜炊飯場＞
毎週月曜日（休日の場合は翌日）、１２/２９～１/１",無料,,,自然広場・ちびっこ広場・展望台・ジョギングコース・疎林広場も併設されています。,"※花の見頃
桜（４００本）/３月下旬～４月上旬",http://www.city.misato.lg.jp/kankoukyoukai/misatopark.html,遊・体,公園・緑地,公園,花 公園・緑地 キャンプ 自然科学
16,荒川大麻生公園,あらかわおおあそうこうえん,北部地域,熊谷市,大麻生753,,36.14477145,139.3511868,荒川中流左岸の河川敷、熊谷市に位置する県営公園です。約１７０ヘクタールの広大な区域のほぼ半分は、県内でも有数の野鳥の渡来地である「野鳥の森」と呼ばれる広い樹林や、河原特有の草花が咲き誇る草地が占め、５０種類近い希少動植物が確認されています。,048-645-0570（（財）埼玉県生態系保護協会）,048-647-1500（（財）埼玉県生態系保護協会）,"・秩父鉄道「大麻生駅」下車　徒歩約１０分
・秩父鉄道「ひろせ野鳥の森駅」下車　徒歩約２分","・関越自動車道「花園」ＩＣより国道１４０号を熊谷方面へ９ｋｍ
・国道１７号より国道1１４０号を秩父方面へ５ｋｍ ",,,,,,,,,http://www.ecosys.or.jp/eco-saitama/,遊・体,公園・緑地,公園,公園・緑地 ゴルフ バードウォッチング
17,埼玉県農林公園,さいたまけんのうりんこうえん,北部地域,深谷市,本田5768-1,,36.11230995,139.2881656,"　園内には、埼玉の農林業に親しめる施設がいっぱい。
　四季折々の農業の姿に触れられる畑や温室、農産物直売所、公園食堂、林業の様子や技術を分かりやすく紹介している木材文化館、広々とした芝生広場、ミニＳＬなどがある。
※埼玉県産業観光ガイドブック「ものづくり案内帖」掲載施設",048-583-2301,048-583-2888,"秩父鉄道武川駅から約４㎞
ＪＲ熊谷駅から約１０㎞","関越自動車道花園ＩＣから約６㎞
関越自動車道嵐山小川ＩＣから約７㎞",,"9:00～16:30
（4～9月：9:00～17:30）",12/29～翌1/3,"入園料：無料
研修室等使用料：
○第1研修室　半日3,600円～
○第2研修室　半日1,000円～
○調理実習室　半日1,300円～
○木工工作室　半日1,000円～",屋内外　２か所あり,,エレベータ、スロープあり,"年間を通じて、様々な農林業学習（収穫体験、調理教室、木工教室等）が楽しめます。
そのほか、農産物直売所や公園食堂、ﾐﾆＳＬ、芝生広場、ステージなども御利用頂けます。",http://www.sainourin.or.jp/nkouen/,遊・体,体験観光,観光農園・収穫体験,農産物直売所 公園・緑地 観光乗物 自然科学 観光農園 レストラン 自然公園 木工 体験
18,種足ふれあいの森,タナダレフレアイノモリ,東部地域,加須市,上種足914,,36.0850874,139.5603089,環境科学国際センターに隣接している公園です。林、草地、湿地、水辺、池などの、生き物たちと気軽にふれあえる施設で、音の遊び場、森の遊び場、池や湿地を渡るゴンドラ、炭焼き小屋など、みんながのびのびと遊びながら学び、池の水をきれいにするための水の循環施設も併設されています。,0480-73-1111（騎西総合支所）,0480-73-6638（騎西総合支所）,東武伊勢崎線「加須駅」下車　鴻巣駅行きバスで「環境科学国際センター」より徒歩約５分,東北自動車道「加須」ＩＣより約２０分,,常時開放,なし,無料,,,,隣接する埼玉県環境科学国際センターは、月曜日休館（祝・祭日の場合は翌日）で、入館料が一般３００円、大学・高校生２００円です。くわしくは、０４８０－７３－８３３１にお問い合わせ下さい。,http://www.kankyou.pref.saitama.jp/,遊・体,公園・緑地,公園,公園・緑地 公共施設
20,上尾丸山公園,あげおまるやまこうえん,中央地域,上尾市,平方3326,,35.95746135,139.5477712,上尾丸山公園は「水と緑の調和」をテーマに昭和５３年に開園した総合公園です。公園内を横断する約２．４ヘクタールの釣りも楽しめる大きな池、子供たちに大人気な、大型遊具、芝生広場、滑り台、砂場、小アスレチック、小動物コーナーなどがあります。また、花の名所としても有名で春にはソメイヨシノ、秋にはコスモスも花を咲かせます。,"048-781-0163（丸山公園管理事務所）
048-725-4844（丸山公園小動物コーナー）",,"ＪＲ高崎線「上尾駅」西口下車
・ぐるっとくん（市内循環）平方循環「丸山公園南口」又は「自然学習館入口」よりすぐ
・東武バス　丸山公園行き「終点」よりすぐ　",東北自動車道「岩槻」ＩＣより約２０分,,"＜小動物コーナー＞
４月～９月／９：００～１６：３０　　
１０月～３月／９：００～１６：００",なし,無料,,,"バーベキュー場（上尾市内、在住、在勤、在学者のみ利用可）
※未成年への貸し出し不可
盲導犬受け入れ：可","※花の見頃
桜（約２５０本）/３月下旬～４月上旬
コスモス（４３００㎡）/１０月中旬～１１月上旬",http://www.city.ageo.lg.jp/kakubukakukaichiran/toshiseibi/midorikouen/tanto/maruyama/index.html,遊・体,公園・緑地,公園,自然公園 花 動物園・水族館 公園・緑地 自然科学
21,北本自然観察公園,きたもとしぜんかんさつこうえん,中央地域,北本市,荒井5-200,,36.012235,139.511194,林や草原、谷地部に広がる湿地など、荒川に隣接した豊かな自然環境を最大限に生かし、キツネやメダカなど野生生物のくらす里山の環境を保全しています。園内には、北本市の天然記念物「エドヒガンザクラ」があり、ソメイヨシノよりも１週間ほど早く毎年３月中旬～下旬に開花します。また、７月下旬にはヘイケボタル観察会も開催しています。,048-593-2891（自然学習センター）,048-590-1039（自然学習センター）,"ＪＲ高崎線「北本駅」西口下車　
「北里メディカルセンター病院行き」または「石戸蒲ザクラ入口行き」バスで約１５分で「自然観察公園前」下車すぐ",首都圏中央連絡自動車道「桶川北本」ＩＣより約１０分,あり,"９：００～１７：００（季節変動あり。要問合せ）
",月曜日　祝日の翌日（土日祝の場合は開館）、春・夏休みは臨時開館日あり,無料,あり,あり,自然学習センターで車いすやベビーカーの貸し出しあり,,http://www.saitama-shizen.info/,遊・体,公園・緑地,公園,花 公園・緑地 博物館 動物園・水族館 紅葉 自然科学 名木 史跡 史跡・城跡 郷土景観 資料館 湖沼 遊歩道 おみやげ 自然公園 バードウォッチング 体験
22,花崎北公園,ハナサキキタコウエン,東部地域,加須市,花崎北2-1,,36.1123632,139.6359135,加須市の東、花崎駅近くにある花崎北公園は、約２ヘクタールの広い園内は多目的広場になっており、スポーツや散策を楽しむ格好の場となっています。グランドの南側に植えられた、樹齢約２５年、約３０本のさくらが花開く４月初旬には、花を愛でる多くの市民で賑わいます。,0480-62-1111（加須市役所/まちづくり課）,,東武伊勢崎線「花崎駅」北口下車　徒歩約５分,東北自動車道「加須」ＩＣより約１０分,,常時開放,なし,無料,,,,,http://www.city.kazo.lg.jp/hp/page000002600/hpg000002501.htm,遊・体,公園・緑地,公園,花 公園・緑地
24,埼玉スタジアム２００２,さいたますたじあむにまるまるに,中央地域,さいたま市,緑区中野田500,,35.903423,139.716257,"２００２年のワールドカップサッカー大会では、準決勝を含めて４試合の会場になりました。６３，７００人の観客席を有する日本で最大のサッカー専用スタジアムとして知られています。サッカー専用スタジアムのため、観客とフィールドの距離が近く、選手の激しい動きを直接感じ取ることが出来ます。
※埼玉県産業観光ガイドブック「ものづくり案内帖」掲載施設",048-812-2002,,埼玉高速鉄道「浦和美園駅」下車　徒歩約１５分 ,東北自動車道「岩槻」ＩＣより約１５分,,-,-,各イベントにより異なりますので、詳細はお問い合わせ下さい。,,,"盲導犬受け入れ：可
車椅子専用スロープ：有",,http://www.stadium2002.com/,遊・体,アウトドア・スポーツ,スポーツ施設・その他,公園・緑地
26,アクアパーク,あくあぱーく,東部地域,吉川市,中井90番地,,35.88873,139.866101,屋外ステージ、バスケットコート、スケートボード場、多目的ステージなど、若者を中心とした施設で充実しています。現在、玉葉橋の下流の区域について、ファミリースポーツ広場や野の花広場のほかに、自由広場、水辺の広場、魚つり広場、駐車場などの整備を行なっています。,048-982-9901（吉川市都市建設部道路公園課）,048-983-2245（吉川市都市建設部道路公園課）,ＪＲ武蔵野線「吉川駅」北口下車　約４０分,常磐自動車道「三郷」ＩＣより約１５分 ,あり（１台）,９：００～２０：００,なし,無料,あり（１か所）,あり（１台）,,,"http://www.city.yoshikawa.saitama.jp/11,985,24,369.html",遊・体,公園・緑地,公園,公園・緑地
27,智光山公園,ちこうざんこうえん,西部地域,狭山市,柏原561,,35.877533,139.389198,総面積５３，８ヘクタール、東京ドーム約１１個分の広大な敷地に、アカマツ、コナラ、クヌギなど武蔵野の豊かな自然をそのまま生かして作られた大規模な都市公園です。園内には、こども動物園や花菖蒲園、ピクニック広場や桜の園など自然と触れ合える様々な施設が併設されています。,04-2953-5111,04-2954-7716,西武新宿線「狭山市駅」西口下車　西武バス「智光山公園行き」終点　約２０分,"関越自動車道川越ＩＣより　
国道１６号を狭山市方面へ約１０ｋｍ　新富士見橋を右折　直進３ｋｍ ",あり（１７台）,８：３０～１７：００,無し,"＜こども動物園＞
大人（高校生以上）/２００円
小人（小・中学生）/５０円
未就学児/無料",あり（５か所）,あり（１７台）,盲導犬受け入れ：可,,http://www.city.sayama.saitama.jp/kakuka/kensetu/kouen/hp/park/shokai/chikouzan/chikouzan.htm,遊・体,公園・緑地,公園,動物園・水族館 公園・緑地 テニス キャンプ フィールドアスレチックコース
28,仙元山見晴らしの丘公園,せんげんやまみはらしのおかこうえん,西部地域,小川町,大字小川１４４０,,36.054206,139.261362,ローラーすべり台やアスレチックジム、展望台、あずまや、休憩所等が併設された町民からのアイデアを募集しそれを基にふるさと創生事業で造られた施設です。標高２９９ｍ、仙元山の中腹、小川町が一望できる高台にある自然の地形をそのまま活かした公園です。,0493-73-1000（仙元山見晴しの丘公園）,,東武東上線、ＪＲ八高線「小川町駅」下車　徒歩約４０分,関越自動車道「東松山」ＩＣより約２５分,なし,"（通常時）９：４５～１６：３０
（６月～８月）９：３０～１７：３０
（１２月～２月）１０：００～１５：３０","・月曜日（祝祭日を除く）
・１２月２８日～１月４日","入園無料

＜ローラーすべり台利用料＞
・大人（高校生以上）２００円/子供（小・中学生）１００円/（未就学児）無料",あり（１か所）,なし,"麓にはカタクリとオオムラサキの林、周辺にミニハイキングコースがあります。
盲導犬受け入れ：可",観光バスでのご来園は道路の幅員の都合上ご遠慮ください。観光バスご利用の方は、麓にあります道の駅「おがわまち」駐車場をご利用ください。（徒歩約３０分）,http://sengenyama-miharashi.jp/,遊・体,公園・緑地,公園,自然公園 公園・緑地
29,川口市立グリーンセンター,かわぐちしりつぐりーんせんたー,中央地域,川口市,大字新井宿700,,35.84469974,139.7273505,熱帯植物が通年観賞出来る大温室やバードセンター、花菖蒲園、ミニ鉄道、アスレチックなど様々な施設があり、隣接する流水プールは夏季（７月中旬～８月下旬）はプールとして、冬季（１２月下旬～翌年２月）はアイススケート場として利用出来ます。また、４月中旬頃から園内に自生しているつつじが見頃を迎えます。,048-281-2319,048-282-0111,埼玉高速鉄道「新井宿駅」下車　徒歩約１０分,首都高速川口線「新井宿」出入り口より約５分,あり,９：００～１７：００（入園は１６：００まで）,"・毎週火曜日（祝日のときは開園）
・祝日の翌日（土・日曜のときは開園）","＜入園料＞大人３００円/子供１００円
＜流水プール＞大人５２０円/高校生３１０円/中学生以下１００円
＜アイススケート場＞大人５２０円/高校生３１０円/中学生以下２１０円",あり（５か所）,あり,"盲導犬受け入れ：可（一部利用不可）
車椅子専用スロープ：有","※花の見頃
つつじ/４月中旬～５月上旬
",http://greencenter.1110city.com/index.html,遊・体,公園・緑地,公園,公園・緑地 プール 自然公園 スケート 花
30,大井弁天の森,おおいべんてんのもり,西部地域,ふじみ野市,大井263-1,,35.8468644,139.5160877,上野不忍池の弁財天を勧請したものと伝えられ、弁天堂の前の池にはきれいな清水が湧き、最盛期の明治中期には、縁日ごとに露店が並び、遠近から参詣の老若男女で賑わったと言われています。現在は隣接する東原親水公園とともに、桜の花見スポットとしても親しまれています。,049-220-2067（ふじみ野市役所/都市計画課）,,"東武東上線「ふじみ野駅」下車　徒歩約２０分
",関越自動車道「所沢」ＩＣより約１５分,なし,常時開放,無し,無料,なし,なし,盲導犬受け入れ：可,,http://www.city.fujimino.saitama.jp/facility/park/benten.html,遊・体,公園・緑地,公園,自然公園 公園・緑地 遊歩道
33,山崎公園（せせらぎ菖蒲園）,やまざきこうえん（せせらぎしょうぶえん）,西部地域,富士見市,大字水子184,,35.8453407,139.5564266,せせらぎ菖蒲園の愛称で親しまれている山崎公園には、およそ１千平方メートルの菖蒲田に、江戸系、肥後系、伊勢系等の品種が６０種類、約５千株植えられ、６月上旬から色とりどりに咲き始めます。園内をせせらぎが流れ、お子さんから大人まで幅広い世代が楽しめる市民の憩いの場となっております。,049-251-2711（富士見市役所/産業振興課）　,049-251-3824（富士見市役所/産業振興課）　,東武東上線「みずほ台駅」東口下車　徒歩約２０分 ,関越自動車道「所沢」ＩＣより国道４６３号をさいたま方面へ県道大井朝霞線をみずほ台駅方面へ左折約５分,あり（２台）,９：００～１７：００（夏期は１９時まで）,なし,無料,あり（１か所）,あり（２台）,"盲導犬受け入れ：可
車椅子専用スロープ：あり",,http://www.city.fujimi.saitama.jp/35miru/02midokoro/park/2010-0606-1111-210.html,遊・体,公園・緑地,公園,公園・緑地　
34,西城沼公園,にしじょうぬまこうえん,東部地域,蓮田市,城637-1,,35.99795543,139.6563363,蓮田市の中心市街地から北東へ約２ｋｍにある、屋敷林と農地に囲まれた公園です。フィールドアスレチックや迷路などの施設もあり、池では釣りも楽しめます。ウォーキングロードも整備されており、ウォーキングされている方も多い公園です。,048-769-4142,,ＪＲ「蓮田駅」東口下車　朝日バス「パルシー行」「菖蒲仲橋行」「下大崎行」「根金行」「蓮田駅西口行」で「西城沼公園」下車　徒歩約１分,国道１２２号から県道大宮栗橋線にて栗橋方面へ。,あり（１０台）,,なし,無料,あり（１４か所）,あり（１０台）,,,http://www.city.hasuda.saitama.jp/city/outline/facility/koen/nishijonuma.html,遊・体,公園・緑地,公園,公園・緑地
35,県民の森,けんみんのもり,秩父地域,横瀬町,芦ヶ久保字丸山北平896,,35.99363265,139.1625309,奥武蔵丸山の北側にあり、面積は約６８ヘクタールあります。森の中には、森林や林業の映画を見たり、話しも聞ける。森林学習展示館をはじめ、展望台、中央広場、オリエンテーリングコースなど、いろいろな施設が併設されています。更に、障害の有無や年齢にかかわらず森林を楽しめるようウエルカムストリートも誕生しています。,0494-23-8340（県民の森管理事務所）,0494-23-8340（県民の森管理事務所）,西武秩父線「芦ヶ久保駅」　徒歩約９０分,関越自動車道「花園」ＩＣより国道１４０号を経て、国道２９９号にて約７５分,あり,９：００～１６：３０,"１２月から翌年２月末まで

※３月１日～１１月末日の毎日営業です。
",,あり,あり,,,http://www.chichibu.ne.jp/~ssinrinp/kenmori.html,遊・体,公園・緑地,遊歩道・ハイキング,公園・緑地 キャンプ オリエンテーリングコース 自然科学
36,彩の国ふれあいの森,さいのくにふれあいのもり,秩父地域,秩父市,中津川447番地,,35.9943669,138.8005377,秩父市中津川地区に約３０００ヘクタールの自然を生かして作られた施設です。炭焼きや原生林散策などができる７つの森のゾーンや、木工工作をしたり、ビデオなどを通して森林の働きなどを学んだりできる森林科学館などが併設されています。また、定期的に体験イベントも開催されています。,0494-56-0026（ふりあいの森管理事務所）,0494-56-0028（ふれあいの森管理事務所）,秩父鉄道「三峰口駅」下車　バスにて「中津川」バス停より徒歩,関越自動車道「花園」ＩＣより約１２０分,あり（２台）,９：００～１７：００,１２/２９～１/３,"無料
※森林科学館の学習室、木工工作室の借上のみ有料",あり（１か所）,あり（２台）,,,http://www.chichibu.ne.jp/~furemori/,遊・体,公園・緑地,公園,自然公園 名木 博物館 公共施設 自然科学 木工 体験
37,美の山公園,みのやまこうえん,秩父地域,皆野町,皆野・秩父市黒谷,,36.05617695,139.1136503,「埼玉県に桜の名所をつくろう」という発想から、秩父市と皆野町にまたがる蓑山（みのやま）に、１０年の年月をかけ約８，０００本の桜を植栽し、昭和５４年４月に開園しました。その後もツツジ・アジサイなどを植栽し、花の名所として親しまれています。７０種類の桜も植樹されており、お花見の時期には多くの花見客で賑わいます。,0494-62-1462（皆野町役場）,0494-62-2791（皆野町役場）,秩父鉄道「皆野駅」・「親鼻駅」下車　徒歩約９０分,関越自動車道「花園」ＩＣより国道１４０号線で秩父方面へ皆野町入口信号を左へ約４５分,あり（２台）,常時開放,なし,無料,あり（１か所）,あり（２台）,,"※花の見頃
桜（８，０００本）/３月下旬～４月上旬
つつじ/４月中旬～５月上旬
あじさい/６月下旬～７月中旬",http://www.pref.saitama.lg.jp/site/minoyamakouen-top/,遊・体,公園・緑地,公園,自然公園 花
